dia,semana_epidemiologica
2021-09-03,35/21
2021-09-04,35/21
2021-09-05,36/21
2021-09-06,36/21
2021-09-07,36/21
2021-09-08,36/21
2021-09-09,36/21
2021-09-10,36/21
2021-09-11,36/21
2021-09-12,37/21
2021-09-13,37/21
2021-09-14,37/21
2021-09-15,37/21
2021-09-16,37/21
2021-09-17,37/21
2021-09-18,37/21
2021-09-19,38/21
2021-09-20,38/21
2021-09-21,38/21
2021-09-22,38/21
2021-09-23,38/21
2021-09-24,38/21
2021-09-25,38/21
2021-09-26,39/21
2021-09-27,39/21
2021-09-28,39/21
2021-09-29,39/21
2021-09-30,39/21
2021-10-01,39/21
2021-10-02,39/21
2021-10-03,40/21
2021-10-04,40/21
2021-10-05,40/21
2021-10-06,40/21
2021-10-07,40/21
2021-10-08,40/21
2021-10-09,40/21
2021-10-10,41/21
2021-10-11,41/21
2021-10-12,41/21
2021-10-13,41/21
2021-10-14,41/21
2021-10-15,41/21
2021-10-16,41/21
2021-10-17,42/21
2021-10-18,42/21
2021-10-19,42/21
2021-10-20,42/21
2021-10-21,42/21
2021-10-22,42/21
2021-10-23,42/21
2021-10-24,43/21
2021-10-25,43/21
2021-10-26,43/21
2021-10-27,43/21
2021-10-28,43/21
2021-10-29,43/21
2021-10-30,43/21
2021-10-31,44/21
2021-11-01,44/21
2021-11-02,44/21
2021-11-03,44/21
2021-11-04,44/21
2021-11-05,44/21
2021-11-06,44/21
2021-11-07,45/21
2021-11-08,45/21
2021-11-09,45/21
2021-11-10,45/21
2021-11-11,45/21
2021-11-12,45/21
2021-11-13,45/21
2021-11-14,46/21
2021-11-15,46/21
2021-11-16,46/21
2021-11-17,46/21
2021-11-18,46/21
2021-11-19,46/21
2021-11-20,46/21
2021-11-21,47/21
2021-11-22,47/21
2021-11-23,47/21
2021-11-24,47/21
2021-11-25,47/21
2021-11-26,47/21
2021-11-27,47/21
2021-11-28,48/21
2021-11-29,48/21
2021-11-30,48/21
2021-12-01,48/21
2021-12-02,48/21
2021-12-03,48/21
2021-12-04,48/21
2021-12-05,49/21
2021-12-06,49/21
2021-12-07,49/21
2021-12-08,49/21
2021-12-09,49/21
2021-12-10,49/21
2021-12-11,49/21
2021-12-12,50/21
2021-12-13,50/21
2021-12-14,50/21
2021-12-15,50/21
2021-12-16,50/21
2021-12-17,50/21
2021-12-18,50/21
2021-12-19,51/21
2021-12-20,51/21
2021-12-21,51/21
2021-12-22,51/21
2021-12-23,51/21
2021-12-24,51/21
2021-12-25,51/21
2021-12-26,52/21
2021-12-27,52/21
2021-12-28,52/21
2021-12-29,52/21
2021-12-30,52/21
2021-12-31,52/21
