codigo_ibge,regiao_covid,codigo_regiao_covid
4321352,CAPAO DA CANOA - R04 R05,3
4321402,PALMEIRA DAS MISSOES - R15 R20,12
4321436,CAPAO DA CANOA - R04 R05,3
4321451,LAJEADO - R29 R30,20
4321469,PASSO FUNDO - R17 R18 R19,14
4321477,PALMEIRA DAS MISSOES - R15 R20,12
4321493,SANTA MARIA - R01 R02,1
4321501,CAPAO DA CANOA - R04 R05,3
4321600,CAPAO DA CANOA - R04 R05,3
4321626,LAJEADO - R29 R30,20
4321634,ERECHIM - R16,13
4321667,CAPAO DA CANOA - R04 R05,3
4321709,TAQUARA - R06,4
4321808,SANTA ROSA - R14,11
4321832,CAPAO DA CANOA - R04 R05,3
4321857,PALMEIRA DAS MISSOES - R15 R20,12
4321907,PALMEIRA DAS MISSOES - R15 R20,12
4321956,PALMEIRA DAS MISSOES - R15 R20,12
4322004,CANOAS - R08,6
4322103,SANTA ROSA - R14,11
4322152,PASSO FUNDO - R17 R18 R19,14
4322186,PASSO FUNDO - R17 R18 R19,14
4322202,CRUZ ALTA - R12,9
4322251,CANOAS - R08,6
4322301,SANTA ROSA - R14,11
4322327,PELOTAS - R21,15
4322343,SANTO ANGELO - R11,8
4322350,CAXIAS DO SUL - R23 R24 R25 R26,17
4322376,SANTA MARIA - R01 R02,1
4322400,URUGUAIANA - R03,2
4322509,CAXIAS DO SUL - R23 R24 R25 R26,17
4322533,SANTA CRUZ DO SUL - R28,19
4322541,CAXIAS DO SUL - R23 R24 R25 R26,17
4322525,SANTA CRUZ DO SUL - R28,19
4322558,PASSO FUNDO - R17 R18 R19,14
4322608,SANTA CRUZ DO SUL - R28,19
4322707,SANTA CRUZ DO SUL - R28,19
4322806,CAXIAS DO SUL - R23 R24 R25 R26,17
4322855,LAJEADO - R29 R30,20
4322905,ERECHIM - R16,13
4323002,PORTO ALEGRE - R09 R10,7
4323101,PALMEIRA DAS MISSOES - R15 R20,12
4323200,PASSO FUNDO - R17 R18 R19,14
4323309,CAXIAS DO SUL - R23 R24 R25 R26,17
4323358,PASSO FUNDO - R17 R18 R19,14
4323408,PASSO FUNDO - R17 R18 R19,14
4323457,SANTA MARIA - R01 R02,1
4323507,PALMEIRA DAS MISSOES - R15 R20,12
4323606,CAXIAS DO SUL - R23 R24 R25 R26,17
4323705,PALMEIRA DAS MISSOES - R15 R20,12
4323754,SANTO ANGELO - R11,8
4323770,LAJEADO - R29 R30,20
4323804,CAPAO DA CANOA - R04 R05,3
